Time : 2021-08-03 17:19:54,049 | Type : INFO | Name : discord.gateway | Message : Shard ID None has connected to Gateway: ["gateway-prd-main-tn1q",{"micros":137895,"calls":["discord-sessions-green-prd-2-150",{"micros":137001,"calls":["start_session",{"micros":70817,"calls":["api-prd-main-smc7",{"micros":62634,"calls":["get_user",{"micros":5972},"add_authorized_ip",{"micros":3601},"get_guilds",{"micros":12129},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":49510,"calls":[]}]}]}] (Session ID: 47de72e664c4dcb17b11d52373ff588b).
Time : 2021-08-03 17:19:54,073 | Type : DEBUG | Name : discord.client | Message : Dispatching event connect
Time : 2021-08-03 17:19:54,073 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_receive
Time : 2021-08-03 17:19:54,073 | Type : DEBUG | Name : discord.gateway | Message : For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'rules_channel_id': None, 'channels': [{'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 'role', 'id': '860157634723708997', 'deny_new': '2953050128', 'deny': 805566480, 'allow_new': '263233', 'allow': 263233}], 'name': 'testing', 'last_message_id': '872166392751853568', 'id': '860798171671822349'}], 'name': 'Codehub', 'system_channel_id': None, 'description': None, 'region': 'europe', 'application_id': None, 'banner': None, 'stage_instances': [], 'stickers': [], 'verification_level': 0, 'system_channel_flags': 0, 'discovery_splash': None, 'vanity_url_code': None, 'default_message_notifications': 1, 'max_video_channel_users': 25, 'joined_at': '2021-08-02T09:12:59.544000+00:00', 'premium_subscription_count': 0, 'voice_states': [], 'owner_id': '540585216541065226', 'application_command_counts': {'3': 0, '2': 0, '1': 0}, 'mfa_level': 0, 'emojis': [{'roles': [], 'require_colons': True, 'name': 'Bru', 'managed': False, 'id': '860163696093298738', 'available': True, 'animated': True}, {'roles': [], 'require_colons': True, 'name': 'someonedying', 'managed': False, 'id': '860163772701605908', 'available': True, 'animated': False}], 'large': False, 'explicit_content_filter': 0, 'icon': '7130d49b1e16f5af3450b5dd6cbfe62e', 'splash': None, 'application_command_count': 0, 'member_count': 3, 'features': [], 'threads': [], 'members': [{'user': {'username': 'Code Hub', 'id': '871677834551246888', 'discriminator': '4276', 'bot': True, 'avatar': 'a4dc9983c0394b9e85c4f47b5d9e77d2'}, 'roles': ['871681981728030731', '871682172656963605'], 'mute': False, 'joined_at': '2021-08-02T09:12:59.544000+00:00', 'hoisted_role': '871682172656963605', 'deaf': False}], 'presences': [], 'max_members': 100000, 'nsfw': False, 'public_updates_channel_id': None, 'id': '860157634723708997', 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': 'auU2trAwRsQ'}, 'metadata': {'omitted': False, 'hash': '2Lx8jP3UoCg'}, 'channels': {'omitted': False, 'hash': 'Xwevv0b1lS8'}}, 'afk_channel_id': None, 'nsfw_level': 0, 'premium_tier': 0, 'roles': [{'position': 0, 'permissions_new': '247064940097', 'permissions': 104320577, 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '860157634723708997', 'hoist': False, 'color': 0}, {'position': 3, 'permissions_new': '111668625399', 'permissions': 2146959351, 'name': 'Founder', 'mentionable': True, 'managed': False, 'id': '860157735375208479', 'hoist': True, 'color': 15277667}, {'position': 2, 'permissions_new': '109789573071', 'permissions': 267907023, 'name': 'Admin', 'mentionable': False, 'managed': False, 'id': '860157882745094175', 'hoist': True, 'color': 15277667}, {'tags': {'bot_id': '871677834551246888'}, 'position': 5, 'permissions_new': '8', 'permissions': 8, 'name': 'Code Hub', 'mentionable': False, 'managed': True, 'id': '871681981728030731', 'hoist': False, 'color': 0}, {'position': 1, 'permissions_new': '247064940097', 'permissions': 104320577, 'name': 'Tester', 'mentionable': False, 'managed': False, 'id': '871682124435062815', 'hoist': True, 'color': 3066993}, {'position': 4, 'permissions_new': '247064940105', 'permissions': 104320585, 'name': 'Code Hub', 'mentionable': False, 'managed': False, 'id': '871682172656963605', 'hoist': True, 'color': 15844367}], 'lazy': True, 'afk_timeout': 300, 'unavailable': False, 'preferred_locale': 'en-US'}}
Time : 2021-08-03 17:19:54,073 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_response
Time : 2021-08-03 17:19:54,074 | Type : DEBUG | Name : discord.client | Message : Dispatching event guild_available
Time : 2021-08-03 17:19:56,075 | Type : DEBUG | Name : discord.client | Message : Dispatching event ready
Time : 2021-08-03 17:19:56,076 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"Made by MrPixelTick#0001, Hydra#4179 \ud83c\udf93","timestamps":{}},"afk":false,"since":1628011196076,"status":"idle"}}" to change status
Time : 2021-08-03 17:19:56,076 | Type : DEBUG | Name : discord.client | Message : Dispatching event socket_raw_send
Time : 2021-08-03 17:19:59,080 | Type : DEBUG | Name : discord.gateway | Message : Sending "{"op":3,"d":{"game":{"type":0,"name":"Im here to help you learn code! \u2b50","timestamps":{}},"afk":false,"since":1628011199079,"status":"idle"}}" to change status
